dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,194.302146,445.261132,0.002353,0.235294,11.764706,588.235294,6.258922
0.020000,194.302146,445.261132,0.011765,0.705882,23.529412,588.235294,6.258910
0.020000,194.302146,445.261132,0.032941,1.411765,35.294118,588.235294,6.258883
0.020000,194.302146,445.261132,0.070588,2.352941,47.058824,588.235294,6.258836
0.020000,194.302146,445.261132,0.129412,3.529412,58.823529,588.235294,6.258763
0.020000,194.302146,445.261132,0.214118,4.941176,70.588235,588.235294,6.258656
0.020000,194.302146,445.261132,0.329412,6.588235,82.352941,588.235294,6.258512
0.020000,194.442214,445.257662,0.480000,8.470588,94.117647,588.235294,6.258324
0.020000,194.632741,445.252901,0.670588,10.588235,105.882353,588.235294,6.258085
0.020000,194.867961,445.246961,0.905882,12.941176,117.647059,588.235294,6.257792
0.020000,195.152574,445.239682,1.190588,15.529412,129.411765,588.235294,6.257437
0.020000,195.491284,445.230887,1.529412,18.352941,141.176471,588.235294,6.257015
0.020000,195.888792,445.220384,1.927059,21.411765,152.941176,588.235294,6.256522
0.020000,196.349800,445.207957,2.388235,24.705882,164.705882,588.235294,6.255951
0.020000,196.879012,445.193368,2.917647,28.235294,176.470588,588.235294,6.255297
0.020000,197.481124,445.176348,3.520000,32.000000,188.235294,588.235294,6.254556
0.020000,198.160837,445.156599,4.200000,36.000000,200.000000,588.235294,6.253722
0.020000,198.920497,445.133858,4.960000,40.000000,200.000000,0.000000,6.252795
0.020000,199.760095,445.107905,5.800000,44.000000,200.000000,0.000000,6.251775
0.020000,200.679625,445.078500,6.720000,48.000000,200.000000,0.000000,6.250663
0.020000,201.679077,445.045383,7.720000,52.000000,200.000000,0.000000,6.249462
0.020000,202.758438,445.008272,8.800000,56.000000,200.000000,-0.000000,6.248173
0.020000,203.917700,444.966868,9.960000,60.000000,200.000000,0.000000,6.246798
0.020000,205.156845,444.920853,11.200000,64.000000,200.000000,-0.000000,6.245340
0.020000,206.475861,444.869892,12.520000,68.000000,200.000000,0.000000,6.243799
0.020000,207.872378,444.813728,13.917647,71.764706,188.235294,-588.235294,6.242183
0.020000,209.341680,444.752206,15.388235,75.294118,176.470588,-588.235294,6.240497
0.020000,210.879043,444.685192,16.927059,78.588235,164.705882,-588.235294,6.238751
0.020000,212.479749,444.612572,18.529412,81.647059,152.941176,-588.235294,6.236951
0.020000,214.139079,444.534262,20.190588,84.470588,141.176471,-588.235294,6.235105
0.020000,215.852312,444.450206,21.905882,87.058824,129.411765,-588.235294,6.233221
0.020000,217.614730,444.360380,23.670588,89.411765,117.647059,-588.235294,6.231306
0.020000,219.421614,444.264795,25.480000,91.529412,105.882353,-588.235294,6.229366
0.020000,221.268250,444.163499,27.329412,93.411765,94.117647,-588.235294,6.227409
0.020000,223.149919,444.056576,29.214118,95.058824,82.352941,-588.235294,6.225442
0.020000,225.061911,443.944152,31.129412,96.470588,70.588235,-588.235294,6.223469
0.020000,226.999512,443.826387,33.070588,97.647059,58.823529,-588.235294,6.221499
0.020000,228.958012,443.703486,35.032941,98.588235,47.058824,-588.235294,6.219535
0.020000,230.932704,443.575688,37.011765,99.294118,35.294118,-588.235294,6.217585
0.020000,232.918883,443.443275,39.002353,99.764706,23.529412,-588.235294,6.215653
0.020000,234.911846,443.306566,41.000000,100.000000,11.764706,-588.235294,6.213745
0.020000,236.906894,443.165916,43.000000,100.000000,0.000000,-588.235294,6.211865
0.020000,238.901676,443.021545,45.000000,100.000000,0.000000,0.000000,6.210015
0.020000,240.896190,442.873515,47.000000,100.000000,0.000000,0.000000,6.208195
0.020000,242.890434,442.721886,49.000000,100.000000,0.000000,0.000000,6.206406
0.020000,244.884406,442.566721,51.000000,100.000000,0.000000,0.000000,6.204648
0.020000,246.878104,442.408080,53.000000,100.000000,0.000000,0.000000,6.202920
0.020000,248.871527,442.246025,55.000000,100.000000,0.000000,0.000000,6.201223
0.020000,250.864675,442.080618,57.000000,100.000000,0.000000,0.000000,6.199556
0.020000,252.857547,441.911919,59.000000,100.000000,0.000000,0.000000,6.197920
0.020000,254.850144,441.739990,61.000000,100.000000,0.000000,0.000000,6.196315
0.020000,256.842464,441.564893,63.000000,100.000000,0.000000,0.000000,6.194740
0.020000,258.834509,441.386690,65.000000,100.000000,0.000000,0.000000,6.193196
0.020000,260.826279,441.205440,67.000000,100.000000,0.000000,0.000000,6.191682
0.020000,262.817775,441.021207,69.000000,100.000000,0.000000,0.000000,6.190199
0.020000,264.808999,440.834052,71.000000,100.000000,0.000000,0.000000,6.188747
0.020000,266.799952,440.644036,73.000000,100.000000,0.000000,0.000000,6.187325
0.020000,268.790635,440.451220,75.000000,100.000000,0.000000,0.000000,6.185935
0.020000,270.781052,440.255667,77.000000,100.000000,0.000000,0.000000,6.184575
0.020000,272.771204,440.057437,79.000000,100.000000,0.000000,0.000000,6.183245
0.020000,274.761093,439.856592,81.000000,100.000000,0.000000,0.000000,6.181946
0.020000,276.750723,439.653193,83.000000,100.000000,0.000000,0.000000,6.180679
0.020000,278.740097,439.447303,85.000000,100.000000,0.000000,0.000000,6.179441
0.020000,280.729218,439.238982,87.000000,100.000000,0.000000,0.000000,6.178235
0.020000,282.718089,439.028291,89.000000,100.000000,0.000000,0.000000,6.177059
0.020000,284.706715,438.815293,91.000000,100.000000,0.000000,0.000000,6.175914
0.020000,286.695099,438.600048,93.000000,100.000000,0.000000,0.000000,6.174799
0.020000,288.683244,438.382618,95.000000,100.000000,0.000000,0.000000,6.173716
0.020000,290.671157,438.163064,97.000000,100.000000,0.000000,0.000000,6.172663
0.020000,292.658840,437.941447,99.000000,100.000000,0.000000,0.000000,6.171640
0.020000,294.646300,437.717829,101.000000,100.000000,0.000000,0.000000,6.170649
0.020000,296.633540,437.492271,103.000000,100.000000,0.000000,0.000000,6.169688
0.020000,298.620566,437.264834,105.000000,100.000000,0.000000,0.000000,6.168758
0.020000,300.607383,437.035580,107.000000,100.000000,0.000000,0.000000,6.167858
0.020000,302.593996,436.804569,109.000000,100.000000,0.000000,0.000000,6.166990
0.020000,304.580412,436.571863,111.000000,100.000000,0.000000,0.000000,6.166151
0.020000,306.566636,436.337522,113.000000,100.000000,0.000000,0.000000,6.165344
0.020000,308.552673,436.101608,115.000000,100.000000,0.000000,0.000000,6.164567
0.020000,310.538530,435.864182,117.000000,100.000000,0.000000,0.000000,6.163821
0.020000,312.524213,435.625305,119.000000,100.000000,0.000000,0.000000,6.163106
0.020000,314.509729,435.385038,121.000000,100.000000,0.000000,0.000000,6.162421
0.020000,316.495083,435.143442,123.000000,100.000000,0.000000,0.000000,6.161767
