dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,165.606435,454.090582,0.002353,0.235294,11.764706,588.235294,6.282807
0.020000,165.606435,454.090582,0.011765,0.705882,23.529412,588.235294,6.282817
0.020000,165.606435,454.090582,0.032941,1.411765,35.294118,588.235294,6.282838
0.020000,165.606435,454.090582,0.070588,2.352941,47.058824,588.235294,6.282875
0.020000,165.606435,454.090582,0.129412,3.529412,58.823529,588.235294,6.282933
0.020000,165.606435,454.090582,0.214118,4.941176,70.588235,588.235294,6.283017
0.020000,165.606435,454.090582,0.329412,6.588235,82.352941,588.235294,6.283132
0.020000,165.703019,454.090586,0.480000,8.470588,94.117647,588.235294,0.000096
0.020000,165.893607,454.090623,0.670588,10.588235,105.882353,588.235294,0.000284
0.020000,166.128901,454.090717,0.905882,12.941176,117.647059,588.235294,0.000517
0.020000,166.413606,454.090904,1.190588,15.529412,129.411765,588.235294,0.000798
0.020000,166.752429,454.091231,1.529412,18.352941,141.176471,588.235294,0.001132
0.020000,167.150076,454.091759,1.927059,21.411765,152.941176,588.235294,0.001524
0.020000,167.611252,454.092567,2.388235,24.705882,164.705882,588.235294,0.001977
0.020000,168.140663,454.093750,2.917647,28.235294,176.470588,588.235294,0.002495
0.020000,168.743013,454.095431,3.520000,32.000000,188.235294,588.235294,0.003084
0.020000,169.423009,454.097753,4.200000,36.000000,200.000000,588.235294,0.003746
0.020000,170.183002,454.100880,4.960000,40.000000,200.000000,0.000000,0.004483
0.020000,171.022993,454.104987,5.800000,44.000000,200.000000,0.000000,0.005295
0.020000,171.942978,454.110265,6.720000,48.000000,200.000000,0.000000,0.006179
0.020000,172.942955,454.116923,7.720000,52.000000,200.000000,0.000000,0.007136
0.020000,174.022923,454.125186,8.800000,56.000000,200.000000,-0.000000,0.008164
0.020000,175.182879,454.135293,9.960000,60.000000,200.000000,0.000000,0.009261
0.020000,176.422819,454.147500,11.200000,64.000000,200.000000,-0.000000,0.010427
0.020000,177.742739,454.162077,12.520000,68.000000,200.000000,0.000000,0.011659
0.020000,179.140280,454.179277,13.917647,71.764706,188.235294,-588.235294,0.012954
